chapter_id,description,guide,guide_id,fqcc,sid
03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Fish,23,0300000000,28373
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS,"Edible vegetables, roots and tubers",6,0700000000,30240
08,EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS,"Edible fruits, nuts and peel",5,0800000000,30808
10,CEREALS,Rice,17,1000000000,31794
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED,"Edible vegetables, roots and tubers",6,1400000000,32338
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS","Edible fruits, nuts and peel",5,2000000000,33378
24,"TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES; PRODUCTS, WHETHER OR NOT CONTAINING NICOTINE, INTENDED FOR INHALATION WITHOUT COMBUSTION; OTHER NICOTINE CONTAINING PRODUCTS INTENDED FOR THE INTAKE OF NICOTINE INTO THE HUMAN BODY",Tobacco and manufactured tobacco substitutes,19,2400000000,35246
26,"ORES, SLAG AND ASH",Iron and steel,10,2600000000,35453
29,ORGANIC CHEMICALS,Organic chemicals,13,2900000000,36168
30,PHARMACEUTICAL PRODUCTS,"Herbal medicines, tonics and supplements",9,3000000000,37614
30,PHARMACEUTICAL PRODUCTS,Pharmaceutical products,14,3000000000,37614
30,PHARMACEUTICAL PRODUCTS,Placebos and comparators,15,3000000000,37614
39,PLASTICS AND ARTICLES THEREOF,Plastics,16,3900000000,38659
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,Leather,11,4100000000,39711
42,"ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILKWORM GUT)",Textiles and textile articles,18,4200000000,39807
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,Wood,22,4400000000,39988
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY,Textiles and textile articles,18,5800000000,42449
60,KNITTED OR CROCHETED FABRICS,Textiles and textile articles,18,6000000000,42702
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED",Textiles and textile articles,18,6100000000,42796
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED",Textiles and textile articles,18,6200000000,43115
63,OTHER MADE-UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,Textiles and textile articles,18,6300000000,43610
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES",Footwear,8,6400000000,43853
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS",Ceramics,3,6800000000,44162
69,CERAMIC PRODUCTS,Ceramics,3,6900000000,44310
72,IRON AND STEEL,Iron and steel,10,7200000000,44810
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF",Computers and software,4,8400000000,47571
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF",Electrical equipment for import and export,2,8400000000,47571
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES","Vehicles, parts and accessories",21,8500000000,49496
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES",Electric lamps,7,8500000000,49496
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES",Electrical equipment for import and export,2,8500000000,49496
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL (INCLUDING ELECTROMECHANICAL) TRAFFIC SIGNALLING EQUIPMENT OF ALL KINDS","Vehicles, parts and accessories",21,8600000000,52935
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF","Vehicles, parts and accessories",21,8700000000,53015
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF","Vehicles, parts and accessories",21,8800000000,53344
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",Aircraft parts,1,8800000000,53344
90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF",Monitors,12,9000000000,53472
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF","Toys, games and sports equipment",20,9500000000,54476
