Field,Friendly name,Question,Info
animal_product_state,Animal state,What state is the animal in?,
purpose,Purpose,What is the purpose of the commodity?,
animal_type,Animal type,What type of animal?,
bone_state,Bone state,What's the bone state?,
bread_type,Bread type,What's the bread type?,
brix_value,Brix value,What's the Brix value?,
cereal_state,Cereal state,What's the cereal state?,
herb_spice_state,Herb / spice state,,
cheese_type,Cheese type,,
cocoa_state,Cocoa state,,
coffee_state,Coffe state,,
dairy_form,Dairy form,,
egg_purpose,Egg purpose,,
egg_shell_state,Egg shell state,,
fat_content,Fat content,,
fish_classification,Fish classification,,
fish_preparation,Fish preparation,,
flour_source,Flour source,,
fruit_spirit,Fruit spirit,,
fruit_vegetable_state,Fruit and veg state,,
fruit_vegetable_type,Vegetable type,,
ingredient,Ingredient,,
jam_sugar_content,Sugar content,,
margarine_state,Margarine state,,
milk_preparation,Milk preparation,,
nut_state,Nut state,,
oil_fat_source,Oil fat source,,
pasta_state,Pasta state,,
plant_state,Plant state,,
sheep_type,Sheep type,,
sugar_state,Sugar state,,
yeast_state,Yeast state,,
beverage_type,Beverage type,,
wine_type,Wine type,,
alcohol_volume,Alcohol volume,,
wine_origin,Wine origin,,
tobacco_type,Tobacco type,,
clothing_gender,Clothing gender,,clothing_gender
garment_type,Garment type,,
garment_material,Garment material,,
computer_type,Computer type,,
metal_usage,Metal usage,,
metal_type,Metal,,
glass_form,Glass form,,
glass_purpose,Glass purpose,,
precious_stone,Stone,,
cable_type,Cable type,,
cable_material,Cable material,,
material,Material,,
clothing_fabrication,Clothing fabrication,,
jewellery_type,Type of jewellery,,
pump_type,Pump type,,
art_form,Art form,,
weight,Weight,,
bovine_age_gender,Age / gender,,
length,Length,,
mounting,Mounting,,
product_age,Age,,
height,Height,,
new_used,Condition,,
car_type,Car type,,
car_capacity,Car capacity,,
battery_charge,Battery charge,,
battery_type,Battery type,,
battery_grade,Battery grade,,
entity,Product category,To which category does this product belong?,
monitor_type,Monitor type,,
monitor_connectivity,Monitor connectivity,,
electricity_type,Electricity type,,
electrical_output,Electrical output,,
vacuum_type,Type,,
